Sample_ID,Model,System_Prompt,Question,Context,Ground_Truth_Answer,PlanAndSolvePlus_EN,Thinking_Content
0,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Xuyên khung được dùng để điều trị những bệnh nào?,"Tính vị: Vị đắng, cay, mùi thơm, tính ấm, quy kinh Can, Đởm, Tâm bào. Công dụng: Hành khí, hoạt huyết, bổ huyết, điều kinh, giảm đau, trừ phong… Chủ trị: Nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo,…2 Xem thêm: Hương nhu trắng: Cây thuốc rất hứa hẹn xung quanh ta","Xuyên khung được dùng để điều trị nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo,…","### Final Answer:  
Tính vị được dùng để điều trị các bệnh như nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo.","Okay, let's see. The user is asking what the ""tính vị"" (which I think translates to ""taste"") in the context is used for treating certain diseases. The provided context mentions the taste and its properties, and then lists the functions and main uses. 

First, I need to look through the Context for any mention of diseases or conditions. The context says ""Tính vị: Vị đắng, cay, mùi thơm, tính ấm, quy kinh Can, Đởm, Tâm bào. Công dụng: Hành khí, hoạt huyết, bổ huyết, điều kinh, giảm đau, trừ phong… Chủ trị: Nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo,…2 Xem thêm: Hương nhu trắng: Cây thuốc rất hứa hẹn xung quanh ta."" 

So, the ""tính vị"" here refers to the taste, and the functions listed are the medicinal uses. The question is asking what the ""tính vị"" is used for treating. The answer should be the list of diseases mentioned in the context. 

Looking at the list: Nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo. So the answer is those symptoms. The user probably wants a list in Vietnamese. I need to make sure I don't miss any other points. The context doesn't mention any other diseases, so the answer is the symptoms listed."
1,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Thuốc Acetylcystein 200 mg được dùng để làm gì trong viêm khí quản, viêm phổi?","Thuốc Acetylcystein 200 mg được chỉ định dùng trong các bệnh lý đường hô hấp:1 - Làm loãng đờm trong các bệnh phế quản – phổi cấp và mãn tính kèm theo sự tăng tiết chất nhầy.
- Làm thông đường hô hấp trong viêm khí quản, viêm phổi.
- Dùng làm thuốc giải độc trong quá liều Paracetamol.","Thuốc Acetylcystein 200 mg dùng để làm thông đường hô hấp trong viêm khí quản, viêm phổi.","### Final Answer:  
Thuốc Acetylcystein 200 mg được dùng để làm loãng đờm trong các bệnh phế quản (như viêm phế quản, viêm phổi cấp và mãn tính) và làm thông đường hô hấp trong viêm khí quản, viêm phổi.","Okay, let's see. The user is asking what the Acetylcystein 200 mg drug is used for in conditions like pharyngitis and bronchitis. The context provided mentions that this drug is used for both pharyngitis and bronchitis. The first sentence in the context says it's used to make the mucus loosen in conditions such as pharyngitis and bronchitis. Then it lists the uses: making the airway clear in pharyngitis and bronchitis, and using it as a drug to help with the fever in the case of Paracetamol.

So the answer should be that the drug is used for treating pharyngitis and bronchitis. The key points from the context are that it's used to loosen mucus and to clear the airway. The answer needs to be in Vietnamese, so I'll make sure to translate that correctly."
2,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Rau ngổ có chứa những thành phần hóa học nào?,"Rau ngổ chứa 0.13% tinh dầu, flavonoid và tanin. Trong tinh dầu chủ yếu là d-limonen và d-penlaldehyd.","Rau ngổ chứa 0,13% tinh dầu, flavonoid và tanin.","### Final Answer:  
Rau ngổ chứa các thành phần hóa học như: 0.13% tinh dầu, flavonoid, và tanin, trong đó chủ yếu là d-limonen và d-penlaldehyd.","Okay, let's see. The user is asking what chemical components are present in the plant, specifically Rau ngổ. The Context provided mentions that Rau ngổ contains 0.13% tinh dầu, flavonoid, and tanin. The main components are d-limonene and d-penlaldehyd. 

So, the answer should list these components. I need to make sure I don't miss any key points. The percentages and the specific compounds are important here. The question is straightforward, so just need to extract the information from the Context. Let me check again to confirm. Yes, the answer should include the percentages and the specific compounds mentioned."
3,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Cetirizine có thể tương tác với các loại thuốc nào?,"- Lưu ý, cần phải điều chỉnh liều ở người suy thận vừa hoặc nặng và người đang thẩm phân thận nhân tạo.
- Không những vậy, cần điều chỉnh liều ở người suy gan.
- Lưu ý, ở một số người bệnh sử dụng cetirizine có hiện tượng ngủ gà, do vậy nên thận trọng khi lái xe, hoặc vận hành máy. Vì dễ gây nguy hiểm.
- Ngoài ra, tránh dùng đồng thời cetirizine với rượu và các thuốc ức chế thần kinh trung ương, vì làm tăng thêm tác dụng của các thuốc này","Cetirizine có thể tương tác với rượu và các thuốc ức chế thần kinh trung ương, làm tăng thêm tác dụng của các thuốc này. Do đó, tránh dùng đồng thời Cetirizine với rượu và các thuốc ức chế thần kinh trung ương.","### Final Answer:  
Cetirizine có thể tương tác với các loại thuốc ức chế thần kinh trung ương, rượu, và các thuốc gây nguy hiểm khác. Cần thận trọng khi sử dụng và tránh dùng đồng thời với rượu và các thuốc này.","Okay, let's see. The user is asking about what medications can interact with cetirizine. The context provided mentions that cetirizine can cause sleep apnea, so they need to be cautious when driving or operating machinery. Also, it's important to avoid taking cetirizine with alcohol and other central-acting antipsychotics because that might increase the effects of these drugs.

So, the answer should list the specific interactions mentioned in the context. The key points are: alcohol, central-acting antipsychotics. Need to make sure the answer is in Vietnamese and follows the steps provided."
4,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thể bại liệt là gì?,"- Bệnh nhân liệt tiến triển, dần ra toàn thân.
- Bí tiểu tiện, đại tiện,…
- Liệt các cơ hô hấp, cuối cùng cũng dẫn đến tử vong, tuy có chậm hơn thể hung dữ. Bạn có thể tìm hiểu thêm: Trẻ bị thú cưng cắn, bạn đã xử trí đúng cách chưa?",Thể bại liệt là một kiểu biểu hiện của bệnh dại.,"### Final Answer:  
Thể bại liệt là một bệnh lý xảy ra khi cơ thể bị tổn thương, khiến người bệnh không thể vận động các cơ quan như cơ hô hấp, cơ mặt, cơ chân, và dẫn đến các triệu chứng như liệt toàn thân, khó tiểu, đại tiểu tiện, và tử vong. Điều này có thể xảy ra do một số nguyên nhân cụ thể, tùy từng trường hợp mà bệnh có thể gây ra.","Okay, let's tackle this question. The user is asking about ""Thể bại liệt"" (paraplegia) based on the provided context. 

First, I need to check the Context. The context mentions that the patient is losing the ability to move, and there are symptoms like constipation and difficulty in urination. It also states that the patient has a condition that leads to death, even though it's slower. The question is asking for the definition of paraplegia.

Looking at the context, the key points are the patient's condition, the symptoms mentioned, and the cause. The answer should be based on these points. Since the context doesn't provide a direct definition, I need to infer it from the symptoms and the cause mentioned. The answer should explain that paraplegia is a condition where the person loses the ability to move, leading to symptoms like constipation and difficulty in urination, and that the patient's condition caused death. 

I need to make sure I'm not missing any other details. The context mentions the patient's condition, so the answer should tie those points together. The final answer should be concise and in Vietnamese."
5,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Những yếu tố gây ra hội chứng đái tháo nhạt trung ương là gì?,"- Đái tháo nhạt trung ương. Tổn thương xuất hiện ở vùng hạ đồi hay tuyến yên. Các tác nhân gây thương tổn có thể là chấn thương đầu, phẫu thuật hay u. Khi đó, vùng hạ đồi và tuyến yên bị rối loạn chức năng, gây ảnh hưởng đến sự tiết hormone ADH. Một bệnh lý di truyền cũng có thể gây ra đái tháo nhạt trung ương thông qua cơ chế này.
- Đái tháo nhạt do thận. Nguyên nhân của đái tháo nhạt do thận là các rối loạn tại ống thận. Thông thường, ống thận sẽ tham gia tái hấp thu và đào thải dưới sự điều hòa của ADH. Các rối loạn tại ống thận làm mất sự điều hòa nội tiết này, gây ra bệnh. Nguyên nhân có thể do bệnh lý di truyền hay bệnh thận mạn tính. Một số thuốc như foscarnet, lithium hay thuốc kháng virus có thể gây ra tình trạng tương tự.
- Đái tháo nhạt thai kỳ. Đây là một tình trạng hiếm gặp. Bệnh lý xảy ra khi mang thai, nhau thai gây phá hủy ADH trong máu của người mẹ.
- Chứng uống nhiều tiên phát (cuồng uống nguyên phát). Nguyên nhân là do bệnh nhân uống quá nhiều nước, gây tiểu nhiều và làm loãng nước tiểu. Tình trạng này có liên quan đến bệnh lý tâm thần, như tâm thần phân liệt. Đôi khi bệnh không tìm được nguyên nhân. Một số trường hợp hiếm gặp có ghi nhận bệnh tự miễn gây tổn thương tế bào sản xuất ADH, dẫn đến bệnh đái tháo nhạt.","Hội chứng đái tháo nhạt trung ương có thể xuất hiện do chấn thương đầu, phẫu thuật hay u làm tổn thương vùng hạ đồi hay tuyến yên, gây rối loạn chức năng sản sinh hormone ADH, ảnh hưởng đến khả năng tái hấp thu nước ở thận.","### Final Answer:  
Hội chứng đái tháo nhạt trung ương có thể gây ra bởi các yếu tố sau:  
1. Chấn thương đầu, phẫu thuật, hoặc u.  
2. Các rối loạn tại ống thận, dẫn đến mất sự điều hòa nội tiết hormone ADH.  
3. Bệnh lý di truyền hoặc bệnh thận mạn tính.  
4. Bệnh thai kỳ, gây phá hủy ADH trong máu.  
5. Các nguyên nhân khác như chấn thương tâm thần, bệnh tự miễn, hoặc rối loạn nội tiết.","Okay, let's tackle this question. The user is asking what factors cause the condition of diabetes mellitus. The provided context has several points to consider.

First, looking at the context, there are several mentions of diabetes mellitus. The first part says that diabetes mellitus is a condition where the central nervous system is affected. The central nervous system can be affected by trauma, surgery, or tumors. The symptoms include issues with the adrenal glands, which can lead to problems with hormone ADH. So the key factors here are trauma, surgery, tumors, and the central nervous system.

Then there's another part about diabetes mellitus due to the kidneys. The cause is issues with the kidneys, which can lead to problems with hormone regulation. The cause could be a disease in the kidneys, like a chronic disease, or maybe a genetic condition. Some medications can also contribute to this.

Another point is diabetes in pregnancy, where the mother's body is affected, leading to issues with ADH. Then there's a mention of diabetes in the first trimester, which is rare. The context also includes a condition called ""diabetes mellitus"" in the first trimester, which is rare. 

So putting this all together, the factors are trauma, surgery, tumors, central nervous system issues, kidney problems, and possibly genetic or other underlying causes. The answer should list these factors in a clear way."
6,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Hai trong số bệnh lý rối loạn đông máu thường gặp gây ra kinh nguyệt kéo dài là gì?,Các bệnh lý rối loạn đông máu toàn thân có thể gây ra kinh nguyệt kéo dài. Hai trong số bệnh lý thường gặp này là bệnh Hemophillia và bệnh Von Willebrand. Kinh nguyệt kéo dài có thể là dấu hiệu duy nhất của một trong những bệnh lý này hoặc có thể có các triệu chứng khác.,Bệnh Hemophillia và bệnh Von Willebrand là hai trong số bệnh lý rối loạn đông máu thường gặp gây ra kinh nguyệt kéo dài.,### Final Answer: Hai trong số bệnh lý rối loạn đông máu thường gặp gây ra kinh nguyệt kéo dài là bệnh Hemophilia và bệnh Von Willebrand.,"Okay, let's see. The user is asking which of the two common blood clotting disorders that cause prolonged menstruation are the answer. The context provided mentions that Hemophilia and Von Willebrand are the two most common. The question is straightforward: list the two.

First, I need to check the Context again. It states that Hemophilia and Von Willebrand are the two most common. So the answer should be those two. I should make sure there's no other information in the context that might affect this. The context doesn't mention any other symptoms besides prolonged periods. So the answer is clear."
7,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Có thể nào một người khỏe mạnh bị nhiễm liên cầu nhóm B không?,"Như đã nói ở trên, liên cầu nhóm B có thể xuất hiện ở người khoẻ mạnh. Bạn có thể nhiễm vi trùng này rồi tự khỏi. Chúng cứ xuất hiện rồi lại biến mất, hoặc cư trú thường xuyên trong cơ thể bạn. Đặc biệt, vi khuẩn này không lây truyền qua đường tình dục, cũng không lây lan qua thức ăn, nước uống. Phương thức lây truyền của vi khuẩn này từ người sang người vẫn chưa được biết rõ. Đối với trẻ sơ sinh, trẻ nhiễm liên cầu từ mẹ. Trong quá trình sinh, khi đi qua âm đạo, trẻ tiếp xúc và nhiễm vi khuẩn này.","Có, người khỏe mạnh cũng có thể bị nhiễm liên cầu nhóm B.","### Final Answer:  
Một người khỏe mạnh có thể bị nhiễm vi khuẩn nhóm B.","Okay, let's tackle this question. The user is asking which of the following can a healthy person be infected with group B strep. The provided context mentions that group B strep can appear in healthy individuals. The context also states that the bacteria can appear and then disappear, or be present in the body in a regular way. It also notes that it doesn't spread through sexual contact, food, or water. For infants, it's transmitted from the mother. 

So, the key points here are that group B strep can be present in healthy individuals, and the answer should be based on that. The question is asking which option is correct, so the answer should be that a healthy person can be infected with group B strep. The context supports this by stating that it can appear in healthy individuals. Therefore, the answer is that a healthy person can be infected with group B strep."
8,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Chúng ta hãm nước nhục quế như thế nào?,"Lấy miếng quế mài ra, hòa cùng nước để uống. Pha như pha trà: gọt quết thành từng miếng nhỏ, bỏ vào ấm cho nước nóng vào rồi rót đổ bỏ ngay. Thêm nước sôi lần hai, chờ ngấm rồi để nguội uống. Có thể hãm 2 – 3 lần nước để uống, loại tốt có thể hãm 5 – 6 lần nước. Rượu quế: nhục quế 6g rượu vừa đủ. Nhục quế giã nát, ngâm rượu trong 3 ngày, uống ấm. Thích hợp dùng khi bị đau nhức mình mẩy do cảm lạnh.","Bạn cắt nhục quế thành những miếng nhỏ sau đó cho vào ấm rồi chế thêm nước nóng vào, sau đó rót bỏ ngay. Tiếp theo lại chế nước sôi lần 2 sau đó chờ một lúc thì uống, có thể hãm nước nhục quế 2-3 lần, loại tốt có thể hãm 5-6 lần.","### Final Answer:  
Chúng ta hãm nước nhục quế bằng cách: gọt quế mài ra, hòa cùng nước để uống. Pha như pha trà: gọt quết thành từng miếng nhỏ, bỏ vào ấm cho nước nóng vào rồi rót đổ bỏ ngay. Có thể hãm 2 – 3 lần nước để uống, loại tốt có thể hãm 5 – 6 lần nước. Rượu quế: nhục quế 6g vừa đủ, giã nát, ngâm rượu trong 3 ngày, uống ấm.","Okay, let's see. The user is asking how we drink the rice wine. The context provided is a Vietnamese recipe for making rice wine. The steps are: take a piece of rice, mix with water to make tea. Then, chop the rice into small pieces, add to a hot cup, pour again, let it cool down. The user can drink it 2-3 times, and the rice wine is made by adding 6g of rice wine. The rice is soaked for 3 days before drinking. 

So the question is asking about the method of drinking the rice wine. The answer should mention the steps: mix rice with water, chop, add to hot tea, repeat, and drink. Also, the amount used is 6g of rice wine. The answer needs to be in Vietnamese, so I'll make sure to translate the steps accurately."
9,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Làm thế nào để sử dụng Azibiotic?,"- Azithromycin được dùng 1 lần/ngày.
- Người lớn: Điều trị bệnh lây qua đường tình dục với một liều duy nhất là 1 gam.
- Các chỉ định khác: điều trị viêm phế quản, viêm phổi, viêm họng, nhiễm khuẩn da và mô mềm. Liều ngày đầu tiên: Azithromycin 500 mg; 4 ngày tiếp theo: liều đơn 250 mg/ngày.
- Người cao tuổi: bằng liều của người lớn. Liều dùng trên đây chỉ mang tính chất tham khảo. Liều dùng cụ thể tùy thuộc vào tình trạng bệnh và cơ địa của từng người. Vì vậy, bạn nên đến gặp bác sĩ để được kê đơn thuốc với liều dùng phù hợp với bạn.",Azibiotic được dùng 1 lần/ngày.,"### Final Answer:  
Azithromycin được sử dụng 1 lần/ngày. Người lớn nên dùng liều 1 gam, trong đó liều đầu tiên là 500 mg và liều tiếp theo là 250 mg mỗi ngày. Người cao tuổi cũng nên dùng liều tương tự, nhưng cần điều chỉnh dựa trên tình trạng bệnh và cơ địa của từng người. Liều dùng trên đây chỉ mang tính chất tham khảo.","Okay, let's see. The user is asking how to use Azithromycin. The Context provided has several points. First, Azithromycin is prescribed once a day. Then, for adults, the dose is 1 gram once. The elderly also take the same dose. The first day is 500 mg, then 250 mg for four days. The elderly's dose is the same as adults, but it's a general guideline. So, the answer should mention the daily dose, the specific dosage for adults and elderly, and the fact that it's a once-dose treatment. Need to make sure to mention the key points from the Context."
