Sample_ID,Model,System_Prompt,Question,Context,Ground_Truth_Answer,Extract_EN
0,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Có bắt buộc phải sử dụng thuốc Carbogast trong khi mang thai và cho con bú không?,"Thuốc Carbogast dùng được cho phụ nữ trong giai đoạn có thai và trong thời kỳ cho con bú với liều lượng cho phép. Tuy nhiên, bạn vẫn nên hỏi ý kiến bác sĩ trước khi sử dụng.","Không bắt buộc, nên dùng thuốc theo đúng chỉ định của bác sĩ.","Không, bạn có thể sử dụng thuốc Carbogast cho phụ nữ trong giai đoạn có thai và cho con bú với liều lượng cho phép."
1,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Ngoài giảm đau, Acepron 250 mg còn có thêm tác dụng nào khác?","Các chỉ định của thuốc Acepron 250 mg như sau: Điều trị sốt và giảm các triệu chứng đau từ nhẹ tới vừa: - Sử dụng trong các dạng đau: Nhức đầu, đau răng, đau nhức do cảm cúm, sốt, đau cơ. Thuốc không có tác dụng trong điều trị thấp khớp và các cơn đau bắt nguồn từ nội tạng.
- Giảm thân nhiệt ở những người có triệu chứng sốt do: cảm cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật…","Ngoài tác dụng giảm đau, Acepron 250 mg còn có thêm tác dụng giảm thân nhiệt ở những người có triệu chứng sốt do cảm cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật.","Acepron 250 mg còn có tác dụng giảm thân nhiệt ở những người có triệu chứng sốt do cảm cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật."
2,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Có thể tự ý sử dụng Calci D Hasan khi đang mang thai và cho con bú không?,"Calci có thể qua nhau thai mẹ vào bé, thuốc cần được sử dụng dưới sự theo dõi của bác sĩ. Để đảm bảo an toàn cho mẹ và bé, không nên tự ý sử dụng thuốc.","Không, không nên tự ý sử dụng thuốc.","Không, không nên tự ý sử dụng Calci D Hasan khi đang mang thai và cho con bú."
3,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Uống thuốc Comiaryl đúng cách như thế nào?,Thời điểm dùng thuốc: uống ngay trước hoặc trong bữa ăn. Lưu ý: Nên uống nguyên viên thuốc Comiaryl với một cốc nước đầy.,Nên uống nguyên viên thuốc Comiaryl với một cốc nước đầy.,Uống thuốc Comiaryl ngay trước hoặc trong bữa ăn.
4,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Calci D Hasan có thể gây ảnh hưởng gì đến bệnh nhân mắc bệnh lý nền?,"Bệnh nhân cần thông báo với bác sĩ về tiền sử bệnh và các thuốc đang dùng. Đặc biệt trong các bệnh: rối loạn hệ miễn dịch (Sarcoidosis) hoặc thiểu năng cận giáp (có thể gây tăng nhạy cảm với vitamin D). Ngoài ra, còn có các bệnh về thận như suy giảm chức năng thận, tiền sử sỏi thận. Hoặc người mắc bệnh tim, xơ vữa động mạch, bệnh gan, bệnh đường ruột (bệnh Crohn, bệnh Whipple),…","Ở bệnh nhân mắc bệnh lý nền, Calci D Hasan có thể gây tăng nhạy cảm với vitamin D, làm tăng nguy cơ gây hại cho sức khỏe.",Bệnh nhân cần thông báo với bác sĩ về tiền sử bệnh và các thuốc đang dùng.
5,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Những điều kiện cần tránh khi bảo quản sản phẩm Bổ thần kinh H5000 là gì?,"- Sản phẩm cần được bảo quản ở nơi khô ráo, tránh ánh sáng mặt trời, nhiệt độ không quá 30°C.
- Tránh xa tầm tay của trẻ em.
- Thuốc có hạn dùng là 36 tháng kể từ ngày sản xuất. Không dùng thuốc quá hạn dùng.","Sản phẩm cần tránh bảo quản ở nơi ẩm ướt, có ánh sáng mặt trời, nhiệt độ cao hơn 30°C.",Tránh xa tầm tay của trẻ em.
6,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Ở đâu là nơi thích hợp để Biosubtyl tránh xa tầm tay trẻ em và vật nuôi?,"- Để thuốc Biosubtyl tránh xa tầm tay của trẻ em và thú cưng trong nhà.
- Bảo quản men ở nơi khô ráo thoáng mát. Tránh tiếp xúc trực tiếp với ánh sáng hoặc để thuốc ở những nơi ẩm ướt.
- Nhiệt độ tốt nhất được khuyến nghị để bảo quản là < 30ºC. Bên trên là những thông tin sử dụng về men vi sinh Biosubtyl. Hãy gọi ngay cho bác sĩ nếu xuất hiện bất kỳ một triệu chứng nào bất thường để có thể được xử trí và hỗ trợ kịp thời nhé!",Để xa men vi sinh Biosubtyl khỏi tầm với của trẻ nhỏ và động vật để đảm bảo an toàn.,"Biosubtyl nên được bảo quản ở nơi khô ráo thoáng mát, tránh tiếp xúc trực tiếp với ánh sáng hoặc để thuốc ở những nơi ẩm ướt."
7,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,"Trong trường hợp đau nhiều, liều dùng Cholapan sẽ thay đổi như thế nào?","Liều lượng sử dụng thuốc Cholapan được nhà sản xuất khuyến cáo cụ thể cho từng đối tượng như sau: - Người lớn: 2 viên/lần, 2 lần/ngày.
- Trẻ em từ 5 tuổi đến dưới 15 tuổi: 1 viên/lần, 2 lần/ngày.
- Trong trường hợp đau nhiều, có thể uống liều gấp đôi.","Có thể uống liều gấp đôi (4 viên/lần, ngày 2 lần).","Trong trường hợp đau nhiều, liều dùng Cholapan sẽ thay đổi như thế nào?"
8,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Tác dụng của thuốc cisapride trên trẻ em như thế nào?,Thuốc cisaprid bài tiết qua sữa mẹ. Nên thận trọng khi dùng thuốc cho phụ nữ trong thời kỳ cho con bú. Tác dụng trên trẻ em chưa được rõ.,Tác dụng trên trẻ em chưa được rõ.,Tác dụng của thuốc cisapride trên trẻ em chưa được rõ.
9,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Bôi thuốc Bisilkon bao nhiêu lần/ngày?,"Bôi thuốc 2 lần/ngày vào buổi sáng và buổi tối. Để đạt được hiệu quả điều trị, nên bôi thuốc đều đặn, thường xuyên. Thời gian điều trị khác nhau tùy thuộc vào vị trí, mức độ và đáp ứng của bệnh nhân với thuốc. Nếu sau 3 – 4 tuần điều trị với Bisilkon mà không thấy có dấu hiệu cải thiện thì nên ngưng thuốc và thông báo với bác sĩ của mình.",Thuốc Bisilkon bôi 2 lần/ngày vào buổi sáng và buổi tối.,Bôi thuốc Bisilkon 2 lần/ngày.
