Sample_ID,Model,System_Prompt,Question,Context,Ground_Truth_Answer,Extracted_Keywords_Initial,Keyword_Helpfulness_Scores,Keyword_Recall_Score_Initial,Extracted_Keywords_After_Filter,Keyword_Recall_Score_After_Filter,Filtered_Noise_Keywords,Extract_EN_Answer,Extract_EN_ROUGE-L,Extract_EN_BLEU,Extract_EN_METEOR,Extract_EN_BERTScore-F1,"Extract_EN_Avg-Score
Keywords","Extract_EN_Answer
No keywords","Extract_EN_Avg-Score
No keywords"
0,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thành ph?n chính có trong thu?c Acyclovir Stella 800 mg là gì?,"Thu?c Acyclovir Stella 800 mg ???c s?n xu?t b?i Công ty TNHH Liên Doanh Stellapharm. Thu?c ? d?ng viên nén, có thành ph?n chính là acyclovir. Ho?t ch?t này có tác d?ng ?i?u tr? nhi?m virus Herpes simplex, b?nh zona và b?nh thu? ??u.",Ho?t ch?t chính c?a thu?c Acyclovir Stella 800 mg là acyclovir.,"['Stella', 'Công ty TNHH', 'TNHH Liên Doanh', 'thu?c Acyclovir', 'Thành ph?n chính']","[0.5857, 0.4701, 0.4292, 0.8707, 0.6058]",0.4,['thu?c Acyclovir'],0.5,[],Thu?c Acyclovir Stella 800 mg có thành ph?n chính là acyclovir.,0.5161,0.317,0.7361,0.8884,0.6144,Thành ph?n chính có trong thu?c Acyclovir Stella 800 mg là acyclovir.,0.7341
1,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Thu?c Bioflora có th? dùng cho nh?ng ??i t??ng nào?,"Thu?c Bioflora nên ???c b?o qu?n ? n?i khô ráo, tránh ?m, nhi?t ?? d??i 30°C, tránh ánh sáng. ?? xa t?m tay tr? em. Không dùng thu?c quá th?i h?n s? d?ng Thu?c Bioflora (saccharomyces boulardii) là lo?i thu?c ?i?u tr? tiêu ch?y c?p, dùng ???c cho c? ng??i l?n và tr? em. Trên ?ây là nh?ng thông tin tham kh?o t? YouMed v? thu?c Bioflora. N?u có b?t c? v?n ?? gì liên quan, hãy liên h? v?i bác s? hay d??c s? ?? ???c t? v?n c? th?.",Thu?c Bioflora dùng ???c cho c? ng??i l?n và tr? em.,"['Thu?c', 'Bioflora', 't??ng nào', '??i t??ng', 'cho nh?ng ??i']","[0.6089, 0.7693, 0.3674, 0.4222, 0.4976]",0.4,"['Bioflora', 'Thu?c']",1,[],Thu?c Bioflora có th? dùng cho c? ng??i l?n và tr? em.,0.9032,0.6263,0.8999,0.9639,0.8483,Thu?c Bioflora có th? dùng cho c? ng??i l?n và tr? em.,0.8483
2,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Có th? s? d?ng CellCept v?i Azathioprine hay không?,"Vui lòng cho bác s? ho?c d??c s? c?a b?n bi?t n?u b?n ?ang dùng ho?c g?n ?ây ?ã s? d?ng b?t k? lo?i thu?c nào khác, bao g?m: - Azathioprine ho?c các lo?i thu?c khác ?c ch? h? th?ng mi?n d?ch c?a b?n – ???c ch? ??nh sau khi th?c hi?n c?y ghép.
- Cholestyramine – ???c s? d?ng ?? ?i?u tr? cholesterol cao.
- Rifampicin – m?t lo?i kháng sinh ???c s? d?ng ?? ng?n ng?a và ?i?u tr? các b?nh nhi?m trùng nh? b?nh lao.
- Thu?c ?i?u tr? các b?nh v? d? dày: esomeprazol, pantoprazol.
- Kháng sinh – dùng ?? ?i?u tr? nhi?m khu?n.
- Isavuconazole – ???c s? d?ng ?? ?i?u tr? nhi?m n?m.
- Telmisartan – dùng ?? ?i?u tr? t?ng huy?t áp.",C?n tham kh?o ý ki?n bác s? vì Azathioprine c?ng là m?t lo?i thu?c có th? ?c ch? h? mi?n d?ch c?a b?n.,"['?i?u', 'hay không', 'CellCept v?i', 'v?i Azathioprine', 'Azathioprine hay']","[0.445, 0.4192, 0.7321, 0.8002, 0.7206]",0,"['v?i Azathioprine', 'CellCept v?i', 'Azathioprine hay']",0,[],"Có, b?n có th? s? d?ng CellCept v?i Azathioprine.",0.2609,0,0.1639,0.7452,0.2925,"Không, b?n không nên s? d?ng CellCept v?i Azathioprine.",0.2631
3,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,B?nh n?m da chân có th? lây lan sang nh?ng b? ph?n nào c?a c? th??,"B?nh có th? lây lan sang các b? ph?n khác c?a c? th?, bao g?m: - Tay: Nh?ng ng??i cào gãi ho?c ch?c ngoáy vào các v? trí b? nhi?m n?m c?a bàn chân có th? b? nhi?m trùng t??ng t? ? m?t trong hai bàn tay c?a h?.
- Móng: Các lo?i n?m liên quan ??n b?nh n?m da chân c?ng có th? lây nhi?m sang móng chân c?a b?n. ?ây là m?t v? trí có xu h??ng khó ?i?u tr? h?n.
- Vùng b?n: N?m b?n th??ng do cùng m?t lo?i n?m gây ra b?nh n?m da chân. Tình tr?ng nhi?m trùng th??ng lây lan t? chân ??n b?n vì n?m có th? di chuy?n t? tay ho?c trên kh?n c?a b?n.","B?nh n?m da chân có th? lây lan sang tay, móng và vùng b?n.","['th?', 'n?m', 'lây lan', 'ph?n nào c?a', 'lan sang các']","[0.4941, 0.6674, 0.6163, 0.5242, 0.4554]",0.6,"['n?m', 'lây lan']",0.6667,[],"B?nh n?m da chân có th? lây lan sang các b? ph?n khác c?a c? th?, bao g?m: - Tay: Nh?ng ng??i cào gãi ho?c ch?c ngoáy vào các v? trí b? nhi?m n?m c?a bàn chân có th? b? nhi?m trùng t??ng t? ? m?t trong hai bàn tay c?a h?. - Móng: Các lo?i n?m liên quan ??n b?nh n?m da chân c?ng có th? lây nhi?m sang móng chân c?a b?n. - Vùng b?n: N?m b?n th??ng do cùng m?t lo?i n?m gây ra b?nh n?m da chân.",0.2424,0.0849,0.5258,0.7556,0.4022,"B?nh n?m da chân có th? lây lan sang các b? ph?n khác c?a c? th?, bao g?m: - Tay: Nh?ng ng??i cào gãi ho?c ch?c ngoáy vào các v? trí b? nhi?m n?m c?a bàn chân có th? b? nhi?m trùng t??ng t? ? m?t trong hai bàn tay c?a h?. - Móng: Các lo?i n?m liên quan ??n b?nh n?m da chân c?ng có th? lây nhi?m sang móng chân c?a b?n. - Vùng b?n: N?m b?n th??ng do cùng m?t lo?i n?m gây ra b?nh n?m da chân.",0.4022
4,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Ancaloit và dipeptide ???c tìm th?y trong ??a c?t bì là h?p ch?t gì?,"Theo h? D??c h?c Vi?n Nghiên c?u Y h?c B?c kinh n?m 1958, trong ??a c?t bì có: - 0,08% ancaloit (kukoamin) và dipeptide là lyciumamid.
- 1,07% saponin không có ph?n ?ng anthraglucozit và tanin.","Ancaloit trong ??a c?t bì là kukoamin, trong khi dipeptide là lyciumamid.","['??a c?t', 'trong ??a', '???c tìm th?y', 'D??c h?c Vi?n', 'tìm th?y trong', 'Vi?n Nghiên c?u', 'dipeptide ???c tìm']","[0.6591, 0.5439, 0.5168, 0.5067, 0.5769, 0.4346, 0.7109]",0.2857,"['dipeptide ???c tìm', '??a c?t', 'tìm th?y trong']",0.5,[],Ancaloit và dipeptide ???c tìm th?y trong ??a c?t bì là lyciumamid.,0.5714,0.3688,0.592,0.875,0.6018,Ancaloit và dipeptide ???c tìm th?y trong ??a c?t bì là h?p ch?t lyciumamid.,0.5499
5,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Nh?ng nguyên nhân nào khác ngoài tác d?ng ph? c?a thu?c có th? gây t?ng Acid uric máu?,"M?t s? nguyên nhân ít g?p h?n có th? gây ra tình tr?ng t?ng Acid uric máu bao g?m: - M?c các b?nh nh?: suy giáp, ?ái tháo ???ng, b?nh v?y n?n.
- Tình tr?ng th?a cân, béo phì.
- U?ng quá nhi?u r??u bia ho?c các th?c u?ng có c?n.
- S? d?ng th??ng xuyên thu?c l?i ti?u và thu?c ?c ch? mi?n d?ch.
- Huy?t áp cao.
- Ph?i nhi?m chì, th?y ngân, thu?c tr? sâu,…","?n u?ng thi?u ch?t, béo phì, v?n ??ng ít và u?ng r??u bia quá m?c ??u có th? gây t?ng n?ng ?? Acid uric trong máu.","['Acid uric', 't?ng Acid', 'nhân nào khác', 'nào khác ngoài', 'khác ngoài tác', 'Nh?ng nguyên nhân']","[0.7804, 0.6666, 0.4334, 0.455, 0.4373, 0.5728]",0.1667,"['Acid uric', 't?ng Acid', 'Nh?ng nguyên nhân']",1,[],"Các nguyên nhân khác ngoài tác d?ng ph? c?a thu?c có th? gây t?ng Acid uric máu bao g?m: th?a cân, béo phì, u?ng quá nhi?u r??u bia ho?c các th?c u?ng có c?n, s? d?ng th??ng xuyên thu?c l?i ti?u và thu?c ?c ch? mi?n d?ch, huy?t áp cao, ph?i nhi?m chì, th?y ngân, thu?c tr? sâu,…",0.2815,0.0864,0.4258,0.7695,0.3908,"Các nguyên nhân khác ngoài tác d?ng ph? c?a thu?c có th? gây t?ng Acid uric máu bao g?m: th?a cân, béo phì, u?ng quá nhi?u r??u bia ho?c các th?c u?ng có c?n, s? d?ng th??ng xuyên thu?c l?i ti?u và thu?c ?c ch? mi?n d?ch, huy?t áp cao, ph?i nhi?m chì, th?y ngân, thu?c tr? sâu.",0.3971
6,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Ho?t ??ng hóa h?c c?a d?ch chi?t t? lá rau mu?ng có kh? n?ng mang l?i nh?ng hi?u qu? gì?,"Ho?t ??ng th?n kinh trung ??ng: Ch?ng tr?m c?m, ch?ng ??ng kinh, gi?i lo âu. Ho?t ??ng hóa h?c t? d?ch chi?t lá cho th?y có kh? n?ng ch?ng viêm, viêm kh?p, ch?ng vi khu?n, ch?ng loét. Thông qua ?c ch? prostaglandin. Kháng v?i m?t s? lo?i ??c côn trùng.","Ho?t ??ng hóa h?c c?a d?ch chi?t t? lá rau mu?ng có kh? n?ng ch?ng viêm, viêm kh?p, ch?ng vi khu?n, ch?ng loét.","['Ho?t ??ng', 'hóa h?c c?a', '??ng hóa h?c', 'h?c c?a d?ch', 'n?ng mang l?i', 'kh? n?ng mang', 'mang l?i nh?ng', 'l?i nh?ng hi?u', 'nh?ng hi?u qu?']","[0.5269, 0.5091, 0.5463, 0.6012, 0.4942, 0.5012, 0.4563, 0.4327, 0.5612]",0.4444,"['h?c c?a d?ch', 'nh?ng hi?u qu?']",0.25,[],"Ho?t ??ng hóa h?c c?a d?ch chi?t t? lá rau mu?ng có kh? n?ng ch?ng viêm, viêm kh?p, ch?ng vi khu?n, ch?ng loét.",1,1,1,1,1,"Ho?t ??ng hóa h?c c?a d?ch chi?t t? lá rau mu?ng có kh? n?ng ch?ng viêm, viêm kh?p, ch?ng vi khu?n, ch?ng loét.",1
7,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Cây D??ng ?a sáng có ??c ?i?m gì?,"D??ng là loài cây khá quen thu?c, phân b? r?ng rãi kh?p n?i, t? vùng núi cao d??i 1000m ??n vùng trung du, ??ng b?ng và h?i ??o. Cây ?a sáng, m?c nhanh và có th? s?ng ???c trên nhi?u lo?i ??t. Qu? chín có v? ng?t, là th?c ?n c?a chim và nhi?u lo?i g?m nh?m. H?t gi?ng qua phân c?a các loài ??ng v?t này phân tán kh?p n?i. T? th?i c? x?a, ng??i Trung qu?c và Nh?t B?n ?ã s? d?ng v? c?a các lo?i D??ng ?? làm gi?y. Lá non ???c ??ng bào vùng Tây B?c n??c ta dùng làm rau nuôi l?n, trâu bò…",Cây D??ng ?a sáng có ??c ?i?m m?c nhanh và có th? s?ng ???c trên nhi?u lo?i ??t.,"['Cây', 'n?i', 'lo?i', 'phân', 'sáng', 'D??ng', '??c ?i?m']","[0.6754, 0.4565, 0.517, 0.4966, 0.6165, 0.6844, 0.6086]",0.7143,"['D??ng', 'Cây', 'sáng', '??c ?i?m']",0.8,['c?a'],"Cây D??ng ?a sáng, m?c nhanh và có th? s?ng ???c trên nhi?u lo?i ??t.",0.92,0.7363,0.8502,0.95,0.8641,"Cây D??ng ?a sáng, m?c nhanh và có th? s?ng ???c trên nhi?u lo?i ??t.",0.8641
8,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Ng??i dùng quá li?u Alzental Shinpoong c?n mang theo nh?ng gì khi ??n b?nh vi?n?,"Khi quá li?u Alzental Shinpoong, b?nh nhân s? có tri?u ch?ng nh? ph?n ?ng s?c ph?n v?, phát ban, r?ng tóc nhi?u. Nhi?u bi?u hi?n nghiêm tr?ng h?n nhi?u nh? suy gi?m b?ch c?u, suy gi?m ch?c n?ng gan.4 Do ?ó, hãy ??n b?nh vi?n ngay l?p t?c và mang theo thu?c ?? bác s? có th? tìm lí do d? dàng và x? trí k?p th?i.",Ng??i dùng quá li?u Alzental Shinpoong c?n mang theo lo?i thu?c ?ã s? d?ng ?? bác s? có th? tìm hi?u nguyên nhân và x? trí k?p th?i.,"['Ng??i dùng', 'li?u Alzental', 'dùng quá li?u', 'Shinpoong c?n', 'Alzental Shinpoong']","[0.4623, 0.7633, 0.6732, 0.6578, 0.7675]",1,"['Alzental Shinpoong', 'li?u Alzental', 'dùng quá li?u', 'Shinpoong c?n']",0.8,[],Ng??i dùng quá li?u Alzental Shinpoong c?n mang theo thu?c ?? bác s? có th? tìm lí do d? dàng và x? trí k?p th?i.,0.7838,0.5949,0.7642,0.9122,0.7638,"Khi ??n b?nh vi?n, ng??i dùng quá li?u Alzental Shinpoong c?n mang theo thu?c ?? bác s? có th? tìm lí do d? dàng và x? trí k?p th?i.",0.7213
9,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,Expert_SP_EN,Cây hoa mào gà thành ph?n có ch?t gì ?? có tác d?ng ch?a b?nh?,"Ph?n trên m?t ??t c?a Mào gà tr?ng ch?a 21,51% protein, nhi?u K, isoflavone. Trong h?t Mào gà tr?ng có ch?a ch?t béo, các ch?t khác và ho?t ch?t nh? Polysaccharid acid là celosian v?i tác d?ng b?o v? gan. Cây Mào gà ?? ch?a kaempfertrin, amaranthin, purit.","Cây hoa mào gà có các thành ph?n nh? Polysaccharid acid celosian, kaempfertrin, amaranthin, purit. Nh?ng thành ph?n này có tác d?ng b?o v? gan.","['mào', 'Cây hoa', 'ch?a b?nh', 'thành ph?n', 'tác d?ng ch?a']","[0.5666, 0.5986, 0.5255, 0.5923, 0.5748]",0.6,"['Cây hoa', 'thành ph?n', 'tác d?ng ch?a', 'mào']",1,[],"Cây hoa mào gà thành ph?n có ch?t protein, nhi?u K, isoflavone ?? có tác d?ng ch?a b?nh.",0.5,0.1309,0.4119,0.7931,0.459,"Cây hoa mào gà ch?a các ch?t nh? protein, nhi?u K, isoflavone, ch?t béo, các ch?t khác và ho?t ch?t nh? Polysaccharid acid là celosian v?i tác d?ng b?o v? gan.",0.535
